y,x
20.58,0.06
20.67,0.07
20.70,0.08
20.68,0.09
20.67,0.10
20.70,0.11
20.69,0.12
20.64,0.13
20.69,0.14
20.68,0.15
20.66,0.16
20.69,0.17
20.70,0.18
20.66,0.19
20.68,0.20
20.70,0.21
20.66,0.22
20.41,0.23
20.36,0.24
20.35,0.25
20.38,0.26
20.35,0.27
20.36,0.28
20.35,0.29
20.37,0.30
20.32,0.31
20.30,0.32
20.36,0.33
20.32,0.34
20.32,0.35
20.35,0.36
20.25,0.37
20.29,0.38
20.33,0.39
20.33,0.40
20.42,0.41
20.61,0.42
20.65,0.43
20.64,0.44
20.62,0.45
20.66,0.46
20.64,0.47
20.32,0.48
20.36,0.49
20.37,0.50
20.30,0.51
20.36,0.52
20.37,0.53
20.28,0.54
20.32,0.55
20.26,0.56
20.30,0.57
20.34,0.58
20.35,0.59
20.25,0.60
20.28,0.62
20.34,0.63
20.27,0.64
20.21,0.65
20.30,0.66
20.27,0.67
20.27,0.68
20.33,0.69
20.28,0.70
20.28,0.71
20.28,0.72
20.26,0.73
20.28,0.74
20.31,0.75
20.27,0.76
20.30,0.77
20.30,0.78
20.27,0.79
20.28,0.80
20.32,0.81
20.31,0.82
20.27,0.83
20.27,0.84
20.33,0.85
20.28,0.86
20.26,0.87
20.28,0.88
20.25,0.89
20.28,0.90
20.32,0.91
20.25,0.92
20.23,0.93
20.30,0.94
20.31,0.95
20.23,0.96
20.25,0.97
20.30,0.98
20.21,0.99
20.26,1.00
20.29,1.01
20.23,1.02
20.29,1.03
20.25,1.04
20.22,1.05
20.26,1.06
20.21,1.07
20.24,1.08
20.22,1.09
20.26,1.10
20.24,1.11
20.24,1.12
20.30,1.13
20.21,1.14
20.20,1.15
20.23,1.16
20.28,1.17
20.24,1.18
20.24,1.19
20.28,1.20
20.24,1.21
20.20,1.22
20.23,1.23
20.24,1.24
20.23,1.25
20.25,1.26
20.22,1.27
20.23,1.28
20.26,1.29
20.23,1.30
20.26,1.31
20.22,1.32
20.26,1.33
20.20,1.34
20.24,1.35
20.23,1.36
20.22,1.37
20.23,1.38
20.28,1.39
20.23,1.40
20.21,1.41
20.26,1.42
20.25,1.43
20.24,1.44
20.25,1.45
20.26,1.46
20.19,1.47
20.24,1.48
20.20,1.49
20.22,1.50
20.22,1.51
20.21,1.52
20.23,1.53
20.25,1.54
20.20,1.55
20.22,1.56
20.19,1.57
20.22,1.58
20.21,1.59
20.22,1.60
20.23,1.61
20.17,1.62
20.20,1.63
20.21,1.64
20.26,1.65
20.16,1.66
20.21,1.67
20.25,1.68
20.18,1.69
20.18,1.70
20.20,1.71
20.23,1.72
20.18,1.73
20.23,1.74
20.18,1.75
20.13,1.76
20.19,1.77
20.20,1.78
20.19,1.79
20.22,1.81
20.23,1.82
20.18,1.83
20.18,1.84
20.24,1.85
20.16,1.86
20.16,1.87
20.24,1.88
20.18,1.89
20.19,1.90
20.20,1.91
20.14,1.92
20.19,1.93
20.21,1.94
20.11,1.95
20.18,1.96
20.20,1.97
20.19,1.98
20.12,1.99
20.22,2.00
20.18,2.01
20.06,2.02
20.20,2.03
20.22,2.04
20.20,2.05
20.20,2.06
20.09,2.07
20.18,2.08
20.19,2.09
20.21,2.10
20.18,2.11
20.16,2.12
20.17,2.13
20.16,2.14
20.12,2.15
20.22,2.16
20.16,2.17
20.14,2.18
20.16,2.19
20.18,2.20
20.15,2.21
20.19,2.22
20.18,2.23
20.17,2.24
20.20,2.25
20.19,2.26
20.19,2.27
20.16,2.28
20.17,2.29
20.19,2.30
20.16,2.31
20.22,2.32
20.19,2.33
20.18,2.34
20.17,2.35
20.16,2.36
20.15,2.37
20.18,2.38
20.16,2.39
20.13,2.40
20.17,2.41
20.16,2.42
20.07,2.43
20.14,2.44
20.15,2.45
20.10,2.46
20.15,2.47
20.10,2.48
20.12,2.49
20.18,2.50
20.15,2.51
20.16,2.52
20.15,2.53
20.13,2.54
20.14,2.55
20.14,2.56
20.16,2.57
